Zathura,"'Children,Family,Sci-Fi,Fantasy'",Jon Favreau,"'Jonah Bobo, Josh Hutcherson, Dax Shepard, Kristen Stewart, Tim Robbins, Frank Oz, John Alexander, Derek Mears, Douglas Tait, Joe Bucaro III'",2005,101,
Ferris Bueller's Day Off,"'Classic,Comedy,Cult'",John Hughes,"'Matthew Broderick, Alan Ruck, Mia Sara, Jeffrey Jones, Jennifer Grey, Cindy Picket'",1986,103,
Monty Python's Life of Brian,"'Classic,Comedy,Cult'",Terry Jones,"'Graham Chapman, John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin, Terence Bayler, Carol Cleveland'",1979,94,
Rain Man,"'Classic,Drama'",Barry Levinson,"'Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen, Jack Murdock, Michael D. Roberts, Ralph Seymour, Lucinda Jenney, Bonnie Hunt'",1988,134,
Once Upon a Time in America,"'Classic,Drama,Cult'",Sergio Leone,"'Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams, Tuesday Weld, Burt Young, Joe Pesci, Danny Aiello'",1984,229,
The Piano,"'Classic,Drama,Independent'",Jane Campion,"'Holly Hunter, Harvey Keitel, Sam Neill, Anna Paquin'",,121,
What's Eating Gilbert Grape,"'Classic,Drama,Independent'",Lasse Hallström,"'Johnny Depp, Leonardo DiCaprio, Juliette Lewis, Mary Steenburgen, Darlene Cates, Laura Harrington, Mary Kate Schellhardt, Kevin Tighe, John C. Reilly, Crispin Glover'",1993,118,
American Pie 9: Girls' Rules,'Comedy',Mike Elliott,"'Madison Pettis, Lizze Broadway, Piper Curda, Natasha Behnam, Darren Barnet, Sara Rue, Zachary Gordon, Camaron Engels, Christian Valderrama, Zayne Emory'",2020,96,
Death to 2020,'Comedy',"Al Campbell, Alice Mathias","'Samuel L. Jackson, Hugh Grant, Lisa Kudrow, Kumail Nanjiani, Tracey Ullman, Samson Kayo, Leslie Jones, Diane Morgan, Cristin Milioti, Joe Keery'",2020,71,
"Hail, Caesar!",'Comedy',"Ethan Coen, Joel Coen","'Josh Brolin, George Clooney, Scarlett Johansson, Alden Ehrenreich, Ralph Fiennes, Tilda Swinton, Channing Tatum, Frances McDormand, Jonah Hill, Veronica Osorio, Heather Goldenhersh, Alison Pill'",2016,106,
Swiped,'Comedy',Ann Deborah Fishman,"'Kendall Ryan Sanders, Noah Centineo, Nathan Gamble, Kristen Johnston, Leigh-Allyn Baker, Christian Hutcherson, Shelby Wulfert, Steve Daron, Kalani Hilliker, Maddy Curley, George Hamilton'",2018,94,
